maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,season,moonrise_time_class,sunrise_time_class,moonset_time_class,sunset_time_class
0.2222222222222222,0.25,0,8.7,5,1,0,2,16,16,16,10,78,0.39795918367346933,0.0,1018,15,10,288,0.10638297872340426,3,2,1,1,0
0.25,0.25,0,8.7,5,6,43,10,22,22,22,12,18,0.4693877551020408,0.0,1008,21,10,162,0.19148936170212766,3,0,1,2,0
0.4444444444444444,0.3333333333333333,0,11.6,6,6,0,15,25,26,25,7,0,0.520408163265306,0.0,1010,21,10,131,0.1276595744680851,3,2,1,1,0
0.7777777777777778,0.6944444444444443,0,13.1,9,9,67,4,39,39,39,18,4,0.11224489795918366,0.0,1000,38,10,236,0.2978723404255319,1,1,0,0,0
0.2777777777777778,0.3055555555555555,0,8.7,5,1,31,8,20,20,20,16,0,0.43877551020408156,0.0,1012,16,10,268,0.19148936170212766,0,2,1,0,0
0.13888888888888895,0.1388888888888889,0,8.7,4,5,48,1,21,21,21,11,0,0.2551020408163265,0.0,1018,18,10,296,0.2127659574468085,3,0,1,2,0
0.2777777777777778,0.2222222222222222,0,8.7,5,6,15,10,27,27,28,8,0,0.2959183673469387,0.0,1015,24,10,329,0.14893617021276595,3,2,1,3,0
0.611111111111111,0.611111111111111,0,8.7,8,8,61,12,33,33,34,13,0,0.2551020408163265,0.0,1006,31,10,307,0.14893617021276595,0,0,1,2,0
0.11111111111111116,0.2777777777777778,0,8.7,5,1,7,6,15,15,15,11,9,0.5510204081632653,0.0,1017,15,10,28,0.14893617021276595,3,0,1,1,0
0.3055555555555556,0.25,0,8.7,5,5,68,8,19,19,19,5,2,0.4591836734693877,0.0,1021,16,10,4,0.0851063829787234,3,0,1,2,0
0.2777777777777778,0.3055555555555555,0,7.2,5,5,73,13,20,21,20,10,17,0.683673469387755,0.0,1019,20,10,34,0.1702127659574468,3,3,1,2,0
0.861111111111111,0.8333333333333333,0,13.4,9,10,75,3,48,48,45,15,2,0.061224489795918366,0.0,1000,44,10,301,0.2765957446808511,1,1,0,0,0
